Model	Estimation	Simulation
Splat	80.357	6.86099999999999
SplatDrop	80.357	7.409000000000006
Simple	0.2819999999999965	1.453000000000003
Lun	0.007000000000005002	1.656000000000006
Lun2	197.798	1.9289999999999736
Lun2ZINB	197.798	2.6070000000000277
scDD	598.2930000000001	296.297
BASiCS	38970.895	2.655000000006112
mfa	2.294000000001688	2.3980000000010477
PhenoPath	0.7429999999949359	2.4029999999984284
ZINBWaVE	500.18100000000413	3.3179999999993015
SparseDC	184.03600000000006	1.466999999996915
