Dataset	Statistic	MAD	MADScaled	MADRank	MAE	MAEScaled	MAERank	RMSE	RMSEScaled	RMSERank
SparseDC	MeanVar	3.311989066063035	0.4259705065655163	10	3.845934668656402	0.4660823227470602	10	4.361736802153056	0.3390711567249687	8
Splat	MeanZeros	2.200000000000003	-1.0538392102165606	2	3.0259463593161087	-1.2255310922313165	2	4.230488356737817	-1.30304630278709	2
SplatDrop	MeanZeros	6.799999999999997	-0.7549084578838058	5	8.342612115584203	-0.8446089242986319	4	11.241313999621388	-0.8799760058236821	3
Simple	MeanZeros	6.200000000000003	-0.7938994255793822	4	20.503370295515378	0.026670667453632762	7	32.590054685297325	0.4083199127678426	7
Lun	MeanZeros	17.599999999999994	-0.05307103936342436	7	18.74251379253837	-0.09948909268204731	6	21.082974558755986	-0.28607815877159276	6
Lun2	MeanZeros	33.99999999999999	1.0126820776490069	10	31.584891025290872	0.820626333257991	9	40.133074129017004	0.8635055982504848	9
Lun2ZINB	MeanZeros	37.8	1.2596248730543265	11	33.931086469656414	0.9887237642480545	10	43.272445521743265	1.0529518710653434	10
scDD	MeanZeros	31.000000000000007	0.817727239171124	8	30.402851368329053	0.7359369566159738	8	38.206052593780356	0.7472189275079316	8
BASiCS	MeanZeros	3.000000000000014	-1.0018512532891242	3	5.336232042388158	-1.0600064812658585	3	11.403736717472434	-0.8701745600346833	4
mfa	MeanZeros	39.400000000000006	1.3636007869091984	12	36.74539793521604	1.1903602172138832	11	45.304421095737496	1.1755720235697418	12
PhenoPath	MeanZeros	32.80000000000001	0.9347001422578546	9	39.38151526738407	1.3792296280679543	12	44.879474338627944	1.1499284888590382	11
ZINBWaVE	MeanZeros	0.6000000000000005	-1.157815124071432	1	1.2851149833397062	-1.3502561157971444	1	2.494552758908868	-1.4078018374833965	1
SparseDC	MeanZeros	9.599999999999994	-0.5729506086377811	6	12.29188834871907	-0.5616558605824893	5	15.045356600301629	-0.6504199571199373	5
Splat	LibSize	5127.5	-0.28872647566309095	3	5995.416	-0.288675600072397	3	8032.297790545368	-0.2886751678846892	3
SplatDrop	LibSize	8380	-0.28872114464457244	4	7507.818	-0.2886755776101392	4	8912.175657267982	-0.28867516699127793	4
Simple	LibSize	15507.5	-0.2887094622973041	5	20631.982	-0.28867538268950593	5	27826.966923939086	-0.28867514778555675	5
Lun	LibSize	50429	-0.28865222412261	8	49647.66	-0.2886749517474414	8	53888.22411826168	-0.2886751213234493	8
Lun2	LibSize	68883	-0.2886219770462873	10	72583.254	-0.28867461110703896	10	77958.66872864107	-0.2886750968827753	10
Lun2ZINB	LibSize	40645.5	-0.2886682597935325	7	45409.306	-0.28867501469565243	7	50916.064111574844	-0.28867512434132436	7
scDD	LibSize	119407.54929355986	-0.2885391646533831	11	118366.82540697776	-0.2886739311275195	11	120095.03489234556	-0.28867505409830635	11
BASiCS	LibSize	1310.5	-0.28873273192679116	2	1728.234	-0.2886756634487627	2	2668.2009418332796	-0.2886751733312917	2
mfa	LibSize	2113514475.5	3.17542647533887	12	233240802840.154	3.1754264805425247	12	3411627150806.3457	3.1754264805429395	12
PhenoPath	LibSize	58701	-0.28863866587966314	9	53569.99	-0.288674893492832	9	55708.26542036648	-0.2886751194754138	9
ZINBWaVE	LibSize	111	-0.2887346979703616	1	151.224	-0.2886756868705813	1	205.82172868771656	-0.28867517583154495	1
SparseDC	LibSize	32463	-0.2886816713412734	6	35108.702	-0.2886751676806544	6	42785.14075365418	-0.2886751325973101	6
Splat	ZerosCell	0.9067569782050597	-1.0767551552763315	3	1.3332605014475336	-1.0627819047401306	3	1.789515983057635	-1.0653484988653488	3
SplatDrop	ZerosCell	9.073032173485537	-0.494225112434476	6	8.342513792538373	-0.5545427201575452	5	8.572597705209198	-0.5731175840600291	4
Simple	ZerosCell	24.728246026110227	0.6225181001305827	8	23.578816846015183	0.5502377633491466	8	24.399195919828347	0.5753782230886961	8
Lun	ZerosCell	7.087452886873873	-0.6358636880685986	4	8.171551865406675	-0.5669391262840756	4	9.095535401594946	-0.5351693311534585	5
Lun2	ZerosCell	32.621401649642216	1.1855655328439498	10	31.69204129567925	1.1385256176165777	10	31.958162412621405	1.1239131138861018	10
Lun2ZINB	ZerosCell	34.84186376795762	1.3439591531885753	12	33.8705085486426	1.2964857275320303	11	34.157910829395774	1.2835432377565463	11
scDD	ZerosCell	28.879663516687614	0.9186537740836346	9	30.052056590375265	1.0196107411330813	9	30.675414897905927	1.0308274032170623	9
BASiCS	ZerosCell	0.3113563117932969	-1.1192272453564407	2	0.34251379253837333	-1.1346206981967597	2	0.3861777079732984	-1.1671851729939002	2
mfa	ZerosCell	34.631561697711255	1.3289575433896372	11	34.93928005680887	1.373982079462407	12	35.080863993138856	1.350519591384734	12
PhenoPath	ZerosCell	9.9634019773857	-0.4307118034155968	7	10.818801551319167	-0.3749877206379427	7	11.789288057761537	-0.3396905814468199	7
ZINBWaVE	ZerosCell	0.1092478286993952	-1.1336443768515236	1	0.1576992407275904	-1.1480215546375874	1	0.22861958245326555	-1.1786187637180787	1
SparseDC	ZerosCell	8.862730103239194	-0.5092267222334126	5	8.58516414486262	-0.5369482044392012	6	9.510565774400053	-0.505051637095506	6
