Date	Users1Day	Users7Day	Users30Day
2018-03-16	33	149	377
2018-03-17	9	135	378
2018-03-18	2	134	367
2018-03-19	4	132	363
2018-03-20	25	145	376
2018-03-21	15	116	382
2018-03-22	26	101	393
2018-03-23	15	86	396
2018-03-24	24	101	406
2018-03-25	55	150	439
2018-03-26	54	192	475
2018-03-27	29	190	490
2018-03-28	29	201	505
2018-03-29	29	204	518
2018-03-30	14	199	509
2018-03-31	13	187	499
2018-04-01	4	140	480
2018-04-02	13	109	483
2018-04-03	23	106	494
2018-04-04	19	92	496
2018-04-05	15	81	496
2018-04-06	12	83	486
2018-04-07	10	78	474
2018-04-08	7	76	462
2018-04-09	20	82	451
2018-04-10	28	83	464
2018-04-11	20	86	471
2018-04-12	20	89	476
2018-04-13	13	90	450
2018-04-14	12	91	424
2018-04-15	18	101	409
2018-04-16	10	96	407
2018-04-17	29	102	422
2018-04-18	16	99	430
2018-04-19	14	94	419
2018-04-20	20	101	425
2018-04-21	10	100	416
2018-04-22	5	88	406
2018-04-23	9	85	391
2018-04-24	27	81	361
2018-04-25	33	95	349
2018-04-26	22	98	343
2018-04-27	17	93	328
2018-04-28	18	104	327
2018-04-29	5	106	327
2018-04-30	9	109	322
2018-05-01	10	97	323
2018-05-02	38	107	346
2018-05-03	16	104	341
2018-05-04	11	99	339
2018-05-05	8	91	335
2018-05-06	9	94	336
2018-05-07	5	89	333
2018-05-08	11	89	337
2018-05-09	20	73	344
2018-05-10	10	65	331
2018-05-11	25	73	330
2018-05-12	12	77	329
2018-05-13	4	74	328
2018-05-14	46	114	354
2018-05-15	28	125	358
2018-05-16	12	117	357
2018-05-17	6	115	346
2018-05-18	13	106	343
2018-05-19	12	106	344
2018-05-20	6	108	337
2018-05-21	7	77	335
2018-05-22	23	74	349
2018-05-23	35	94	374
2018-05-24	8	95	368
2018-05-25	16	97	361
2018-05-26	14	98	357
2018-05-27	1	94	349
2018-05-28	12	102	347
2018-05-29	15	95	355
2018-05-30	15	75	360
2018-05-31	34	99	383
2018-06-01	34	118	384
2018-06-02	19	122	386
2018-06-03	5	126	382
2018-06-04	8	122	380
2018-06-05	12	118	382
2018-06-06	18	118	393
2018-06-07	13	100	393
2018-06-08	26	90	399
2018-06-09	19	89	409
2018-06-10	13	95	406
2018-06-11	16	95	401
2018-06-12	38	115	423
2018-06-13	38	129	416
2018-06-14	14	131	404
2018-06-15	11	119	399
2018-06-16	17	120	406
2018-06-17	5	116	400
2018-06-18	7	113	394
2018-06-19	42	119	421
2018-06-20	49	133	465
2018-06-21	19	138	465
2018-06-22	13	140	443
2018-06-23	16	138	449
2018-06-24	4	137	440
2018-06-25	14	145	440
2018-06-26	108	212	540
2018-06-27	115	266	628
2018-06-28	131	368	725
2018-06-29	54	402	759
2018-06-30	40	415	754
2018-07-01	18	426	736
2018-07-02	24	432	736
2018-07-03	37	366	757
2018-07-04	33	289	771
2018-07-05	28	191	782
2018-07-06	21	166	785
2018-07-07	11	143	785
2018-07-08	22	151	787
2018-07-09	24	152	793
2018-07-10	97	214	875
2018-07-11	40	221	896
2018-07-12	39	230	894
2018-07-13	34	239	882
2018-07-14	18	245	887
2018-07-15	22	242	894
2018-07-16	25	239	891
2018-07-17	31	172	910
2018-07-18	44	177	941
2018-07-19	39	175	932
2018-07-20	23	165	901
2018-07-21	10	162	893
2018-07-22	11	158	893
2018-07-23	34	167	908
2018-07-24	27	168	931
2018-07-25	27	153	931
2018-07-26	32	150	866
2018-07-27	39	163	804
2018-07-28	37	189	721
2018-07-29	17	195	701
